ra,dec,h_m,h_cmsig,prox,j_m,k_m,rd_flg,j_h,h_k,j_k
63.721253,25.813757,6.001,0.031,12.5,6.901,5.662,111,0.9000,0.3390,1.2390
310.578841,57.757839,6.003,0.013,24.4,6.419,5.904,111,0.4160,0.0990,0.5150
312.610129,59.131859,6.002,0.027,18.5,6.928,5.698,111,0.9260,0.3040,1.2300
306.898019,63.732128,6.003,0.007,20.2,6.872,5.750,111,0.8690,0.2530,1.1220
332.663926,64.070389,6.006,0.031,15.3,6.840,5.782,111,0.8340,0.2240,1.0580
341.503324,65.214760,6.007,0.031,21.7,7.207,5.558,111,1.2000,0.4490,1.6490
279.288108,-17.580378,6.004,0.031,10.5,7.058,5.555,111,1.0540,0.4490,1.5030
278.385694,-20.623480,6.002,0.033,13.2,6.679,5.765,111,0.6770,0.2370,0.9140
277.469206,-21.098616,6.005,0.031,14.4,7.127,5.597,111,1.1220,0.4080,1.5300
283.229917,-12.698076,6.007,0.051,13.6,6.961,5.641,111,0.9540,0.3660,1.3200
282.589368,-16.270830,6.006,0.029,13.9,7.059,5.655,111,1.0530,0.3510,1.4040
199.659965,-62.532642,6.001,0.023,11.1,7.107,5.554,111,1.1060,0.4470,1.5530
199.318179,-63.110119,6.006,0.027,12.0,6.966,5.622,111,0.9600,0.3840,1.3440
196.882892,-62.678089,6.008,0.049,16.7,6.597,5.682,111,0.5890,0.3260,0.9150
184.753033,-61.398167,6.007,0.033,13.9,7.173,5.586,111,1.1660,0.4210,1.5870
181.972708,-61.139408,6.007,0.025,11.0,6.880,5.708,111,0.8730,0.2990,1.1720
189.108069,-59.681183,6.007,0.045,10.5,7.050,5.502,111,1.0430,0.5050,1.5480
189.864476,-60.456238,6.002,0.037,14.0,7.032,5.662,111,1.0300,0.3400,1.3700
184.735119,-60.227978,6.002,0.039,15.2,7.025,5.630,111,1.0230,0.3720,1.3950
189.638092,-61.221287,6.001,0.029,13.7,6.912,5.646,111,0.9110,0.3550,1.2660
185.604807,-63.439342,6.003,0.013,14.3,7.050,5.488,111,1.0470,0.5150,1.5620
328.649589,66.617310,6.003,0.033,16.9,7.036,5.650,111,1.0330,0.3530,1.3860
336.583348,69.645981,6.006,0.031,20.5,7.065,5.631,111,1.0590,0.3750,1.4340
308.849128,69.788612,6.009,0.017,26.0,6.878,5.773,111,0.8690,0.2360,1.1050
324.950241,67.983444,6.001,0.035,23.8,6.961,5.681,111,0.9600,0.3200,1.2800
333.359514,56.041878,6.006,0.039,16.4,7.147,5.589,111,1.1410,0.4170,1.5580
337.899268,55.240341,6.004,0.009,12.3,6.561,5.858,111,0.5570,0.1460,0.7030
335.296018,54.538589,6.007,0.015,17.0,6.514,5.905,111,0.5070,0.1020,0.6090
334.556144,58.199436,6.001,0.029,11.9,6.621,5.894,111,0.6200,0.1070,0.7270
333.025884,56.641918,6.004,0.021,15.7,6.964,5.719,111,0.9600,0.2850,1.2450
286.930222,12.437200,6.002,0.029,13.8,7.208,5.458,111,1.2060,0.5440,1.7500
282.295076,16.321150,6.004,0.013,14.9,6.494,5.861,111,0.4900,0.1430,0.6330
288.814097,15.869077,6.005,0.055,14.2,7.116,5.465,111,1.1110,0.5400,1.6510
289.295256,15.624267,6.008,0.041,11.3,7.246,5.540,111,1.2380,0.4680,1.7060
288.655488,12.618392,6.009,0.049,11.1,7.028,5.623,111,1.0190,0.3860,1.4050
268.749141,-31.599417,6.008,0.047,11.1,6.937,5.635,111,0.9290,0.3730,1.3020
269.646523,-30.168436,6.002,0.045,14.1,6.961,5.644,111,0.9590,0.3580,1.3170
266.737928,-41.234215,6.001,0.037,11.8,6.887,5.709,111,0.8860,0.2920,1.1780
267.732787,-34.389233,6.005,0.041,10.6,6.767,5.775,111,0.7620,0.2300,0.9920
266.010592,-36.800400,6.002,0.015,16.0,7.189,5.523,111,1.1870,0.4790,1.6660
307.240958,27.889938,6.005,0.027,18.5,6.605,5.826,111,0.6000,0.1790,0.7790
307.638744,26.720650,6.006,0.017,24.8,7.078,5.648,111,1.0720,0.3580,1.4300
305.730809,37.239178,6.009,0.009,11.1,6.859,5.721,111,0.8500,0.2880,1.1380
301.391073,33.736977,6.007,0.039,12.7,6.369,5.743,111,0.3620,0.2640,0.6260
100.409239,21.945471,6.004,0.013,21.6,6.859,5.724,111,0.8550,0.2800,1.1350
96.986135,20.496296,6.001,0.007,21.5,6.000,5.974,111,-0.0010,0.0270,0.0260
99.071160,18.379583,6.006,0.003,21.4,6.935,5.694,111,0.9290,0.3120,1.2410
85.142312,45.966316,6.006,0.045,24.4,6.602,5.784,111,0.5960,0.2220,0.8180
70.233168,51.482880,6.009,0.031,20.5,7.412,5.321,111,1.4030,0.6880,2.0910
76.937623,49.762608,6.002,0.037,27.3,6.978,5.642,111,0.9760,0.3600,1.3360
74.724203,48.467705,6.007,0.027,22.3,6.992,5.724,111,0.9850,0.2830,1.2680
76.657257,39.902828,6.002,0.011,19.8,6.673,5.849,111,0.6710,0.1530,0.8240
164.305835,-51.616699,6.007,0.015,17.4,6.937,5.759,111,0.9300,0.2480,1.1780
164.071393,-51.324574,6.009,0.029,26.4,6.747,5.834,111,0.7380,0.1750,0.9130
179.610440,-55.668606,6.004,0.029,16.5,6.844,5.756,111,0.8400,0.2480,1.0880
175.746447,-54.904640,6.001,0.017,10.8,6.679,5.849,111,0.6780,0.1520,0.8300
175.549448,-51.427227,6.001,0.029,10.4,6.899,5.685,111,0.8980,0.3160,1.2140
238.821434,-45.222435,6.004,0.045,14.8,7.208,5.397,111,1.2040,0.6070,1.8110
235.820198,-45.626991,6.004,0.037,19.3,6.902,5.710,111,0.8980,0.2940,1.1920
234.090792,-49.112545,6.005,0.015,13.7,6.871,5.594,111,0.8660,0.4110,1.2770
233.883176,-48.863506,6.003,0.031,16.0,7.103,5.453,111,1.1000,0.5500,1.6500
173.893631,-56.443405,6.001,0.043,14.7,7.125,5.420,111,1.1240,0.5810,1.7050
161.295439,-56.043968,6.008,0.031,16.0,6.900,5.722,111,0.8920,0.2860,1.1780
162.474834,-57.230267,6.002,0.023,19.6,7.039,5.488,111,1.0370,0.5140,1.5510
166.239859,-59.858906,6.007,0.043,14.9,6.073,5.923,111,0.0660,0.0840,0.1500
216.851619,-6.120362,6.007,0.027,58.1,5.977,5.921,111,-0.0300,0.0860,0.0560
217.699142,-8.646269,6.007,0.041,25.6,6.616,5.769,111,0.6090,0.2380,0.8470
204.830193,-11.065369,6.006,0.047,17.7,6.585,5.874,111,0.5790,0.1320,0.7110
211.241029,-6.874316,6.008,0.027,34.1,6.497,5.916,111,0.4890,0.0920,0.5810
201.899290,-18.032137,6.009,0.027,39.1,6.614,5.890,111,0.6050,0.1190,0.7240
317.949032,-2.601541,6.008,0.043,37.3,6.570,5.857,111,0.5620,0.1510,0.7130
331.522202,-5.358106,6.003,0.037,17.4,6.326,5.884,111,0.3230,0.1190,0.4420
332.958660,-9.745290,6.004,0.035,68.2,6.624,5.851,111,0.6200,0.1530,0.7730
359.044478,-39.052406,6.007,0.021,37.0,6.510,5.907,111,0.5030,0.1000,0.6030
359.373755,-28.038599,6.002,0.031,20.4,6.470,5.865,111,0.4680,0.1370,0.6050
341.682044,-25.397381,6.008,0.027,15.7,6.553,5.860,111,0.5450,0.1480,0.6930
342.004602,-28.520452,6.004,0.025,32.0,6.549,5.906,111,0.5450,0.0980,0.6430
336.499385,-14.951735,6.007,0.017,13.4,6.385,5.833,111,0.3780,0.1740,0.5520
339.527763,-2.898578,6.006,0.029,53.8,6.547,5.898,111,0.5410,0.1080,0.6490
78.914971,24.508003,6.008,0.013,26.9,6.925,5.750,111,0.9170,0.2580,1.1750
77.587323,26.100737,6.009,0.015,17.2,7.072,5.664,111,1.0630,0.3450,1.4080
76.628986,28.787500,6.004,0.037,22.7,6.710,5.779,111,0.7060,0.2250,0.9310
78.297406,33.848782,6.007,0.045,17.7,7.184,5.490,111,1.1770,0.5170,1.6940
81.374888,32.885643,6.006,0.015,16.6,7.086,5.584,111,1.0800,0.4220,1.5020
268.517349,-32.892986,6.005,0.019,11.5,7.072,5.616,111,1.0670,0.3890,1.4560
266.889625,-32.389282,6.005,0.015,13.8,7.808,5.091,111,1.8030,0.9140,2.7170
262.902387,-31.546612,6.007,0.045,12.6,6.795,5.780,111,0.7880,0.2270,1.0150
264.528798,-30.406281,6.001,0.017,10.2,7.946,4.961,111,1.9450,1.0400,2.9850
263.161474,-32.669937,6.007,0.013,10.3,7.319,5.465,111,1.3120,0.5420,1.8540
84.565952,38.606602,6.005,0.015,18.5,6.509,5.871,111,0.5040,0.1340,0.6380
70.565754,29.887241,6.003,0.015,35.4,7.025,5.601,111,1.0220,0.4020,1.4240
71.680016,29.884426,6.003,0.013,13.9,6.896,5.721,111,0.8930,0.2820,1.1750
89.871243,22.580763,6.009,0.021,26.1,6.905,5.738,111,0.8960,0.2710,1.1670
320.251316,-62.349483,6.005,0.025,34.5,6.570,5.879,111,0.5650,0.1260,0.6910
275.243254,-67.344978,6.001,0.027,25.8,6.640,5.788,111,0.6390,0.2130,0.8520
330.882453,-68.058838,6.007,0.033,71.8,6.741,5.750,111,0.7340,0.2570,0.9910
313.939972,-65.175064,6.001,0.041,15.4,6.429,5.842,111,0.4280,0.1590,0.5870
343.910972,-2.842278,6.001,0.043,16.6,6.586,5.822,111,0.5850,0.1790,0.7640
280.752272,-4.224707,6.009,0.021,11.0,7.001,5.605,111,0.9920,0.4040,1.3960
274.967213,-11.287503,6.007,0.039,15.5,6.257,5.928,111,0.2500,0.0790,0.3290
296.666294,37.476536,6.005,0.037,17.6,6.684,5.805,111,0.6790,0.2000,0.8790
299.079195,34.111305,6.009,0.013,14.8,7.007,5.687,111,0.9980,0.3220,1.3200
288.987654,33.006447,6.008,0.019,14.8,6.873,5.794,111,0.8650,0.2140,1.0790
294.106027,35.417721,6.001,0.015,11.2,6.906,5.672,111,0.9050,0.3290,1.2340
243.946975,53.236717,6.007,0.017,23.6,6.142,5.947,111,0.1350,0.0600,0.1950
249.760785,53.146961,6.004,0.009,11.1,6.722,5.838,111,0.7180,0.1660,0.8840
256.154735,57.271938,6.006,0.019,15.8,6.761,5.763,111,0.7550,0.2430,0.9980
240.088121,67.627380,6.001,0.011,40.9,6.159,5.971,111,0.1580,0.0300,0.1880
220.647215,72.859894,6.009,0.015,28.2,6.676,5.817,111,0.6670,0.1920,0.8590
216.638947,2.026553,6.008,0.047,13.9,6.733,5.839,111,0.7250,0.1690,0.8940
207.962464,11.937207,6.001,0.061,22.2,6.107,5.884,111,0.1060,0.1170,0.2230
183.614644,23.661224,6.004,0.023,15.4,6.247,5.930,111,0.2430,0.0740,0.3170
282.722825,4.861564,6.008,0.033,14.4,7.672,5.170,111,1.6640,0.8380,2.5020
283.244737,4.591717,6.001,0.021,12.1,7.969,4.883,111,1.9680,1.1180,3.0860
286.932752,1.947771,6.008,0.023,10.9,7.022,5.612,111,1.0140,0.3960,1.4100
250.197541,-45.656063,6.006,0.035,12.3,7.396,5.424,111,1.3900,0.5820,1.9720
250.807217,-45.089394,6.008,0.037,10.7,7.167,5.475,111,1.1590,0.5330,1.6920
247.140299,-45.190395,6.001,0.023,11.8,7.184,5.464,111,1.1830,0.5370,1.7200
53.513840,-60.141155,6.006,0.035,44.4,6.491,5.883,111,0.4850,0.1230,0.6080
53.352817,-60.014744,6.009,0.039,26.2,6.964,5.729,111,0.9550,0.2800,1.2350
7.938227,-68.358047,6.007,0.029,12.0,6.551,5.842,111,0.5440,0.1650,0.7090
81.262462,-68.003197,6.009,0.023,11.4,6.492,5.947,111,0.4830,0.0620,0.5450
280.028472,-7.497789,6.002,0.031,14.4,7.462,5.339,111,1.4600,0.6630,2.1230
278.462251,-11.022466,6.004,0.027,13.3,7.221,5.601,111,1.2170,0.4030,1.6200
280.244475,-9.511966,6.008,0.043,10.2,7.415,5.280,111,1.4070,0.7280,2.1350
276.229255,-5.650663,6.004,0.037,16.1,7.111,5.422,111,1.1070,0.5820,1.6890
270.199486,-40.675201,6.004,0.015,22.8,6.791,5.724,111,0.7870,0.2800,1.0670
273.707961,-41.106979,6.009,0.011,18.5,6.782,5.651,111,0.7730,0.3580,1.1310
270.466170,-34.289833,6.005,0.041,12.8,6.957,5.692,111,0.9520,0.3130,1.2650
270.121030,-38.731068,6.007,0.033,13.4,6.373,5.907,111,0.3660,0.1000,0.4660
277.214405,6.292106,6.001,0.035,16.8,6.999,5.602,111,0.9980,0.3990,1.3970
307.303600,2.802408,6.001,0.021,19.0,6.849,5.663,111,0.8480,0.3380,1.1860
296.838890,23.100950,6.003,0.063,13.0,7.067,5.584,111,1.0640,0.4190,1.4830
296.504908,20.181824,6.008,0.033,12.4,7.232,5.259,111,1.2240,0.7490,1.9730
187.533408,-56.550716,6.005,0.055,21.8,7.300,5.123,111,1.2950,0.8820,2.1770
196.510190,-59.243679,6.006,0.019,13.3,7.054,5.559,111,1.0480,0.4470,1.4950
194.186484,-58.695988,6.001,0.023,16.3,6.991,5.630,111,0.9900,0.3710,1.3610
197.617874,-58.022758,6.004,0.031,18.1,7.042,5.460,111,1.0380,0.5440,1.5820
223.136164,-56.725777,6.007,0.035,12.5,7.320,5.250,111,1.3130,0.7570,2.0700
225.121072,-56.105652,6.002,0.025,16.7,7.057,5.539,111,1.0550,0.4630,1.5180
220.450107,-58.381695,6.002,0.027,10.7,7.050,5.553,111,1.0480,0.4490,1.4970
297.128778,34.634315,6.001,0.013,15.1,6.562,5.823,111,0.5610,0.1780,0.7390
294.709487,31.835171,6.001,0.023,16.9,6.507,5.897,111,0.5060,0.1040,0.6100
309.622428,53.465847,6.006,0.047,13.0,6.981,5.643,111,0.9750,0.3630,1.3380
307.816007,51.023174,6.009,0.031,13.0,6.844,5.705,111,0.8350,0.3040,1.1390
217.514972,-60.849686,6.002,0.023,14.4,6.582,5.829,111,0.5800,0.1730,0.7530
217.691882,-62.747913,6.003,0.029,12.1,6.998,5.639,111,0.9950,0.3640,1.3590
240.324164,-62.538502,6.009,0.063,10.5,6.897,5.740,111,0.8880,0.2690,1.1570
234.248879,-60.637051,6.002,0.045,11.5,7.054,5.405,111,1.0520,0.5970,1.6490
230.279436,-63.125980,6.008,0.033,13.6,7.160,5.484,111,1.1520,0.5240,1.6760
230.337487,-62.879551,6.008,0.035,15.0,6.980,5.669,111,0.9720,0.3390,1.3110
230.641932,-61.922646,6.007,0.055,12.2,6.592,5.830,111,0.5850,0.1770,0.7620
259.392512,16.590668,6.001,0.027,24.5,6.820,5.509,111,0.8190,0.4920,1.3110
193.395803,73.047066,6.004,0.017,29.9,6.564,5.847,111,0.5600,0.1570,0.7170
267.330550,72.811150,6.007,0.009,53.9,6.701,5.804,111,0.6940,0.2030,0.8970
262.232710,75.585228,6.005,0.013,61.2,6.821,5.825,111,0.8160,0.1800,0.9960
267.853520,74.569099,6.007,0.029,23.8,6.112,5.948,111,0.1050,0.0590,0.1640
238.829401,73.815300,6.005,0.011,43.8,6.649,5.851,111,0.6440,0.1540,0.7980
194.858229,52.756649,6.001,0.013,91.9,6.869,5.793,111,0.8680,0.2080,1.0760
184.739905,51.163879,6.004,0.015,33.2,6.753,5.784,111,0.7490,0.2200,0.9690
264.126964,48.989769,6.003,0.053,38.8,6.517,5.831,111,0.5140,0.1720,0.6860
289.140203,2.374418,6.006,0.027,16.9,7.119,5.499,111,1.1130,0.5070,1.6200
281.717825,9.233211,6.001,0.019,12.1,6.953,5.683,111,0.9520,0.3180,1.2700
283.267949,8.078932,6.008,0.025,13.0,6.636,5.809,111,0.6280,0.1990,0.8270
259.852328,-26.882303,6.002,0.015,10.4,6.957,5.697,111,0.9550,0.3050,1.2600
259.457869,-33.569595,6.001,0.023,12.1,7.106,5.626,111,1.1050,0.3750,1.4800
256.213753,-30.927631,6.007,0.029,14.9,7.064,5.568,111,1.0570,0.4390,1.4960
256.016019,-31.613308,6.009,0.043,14.6,6.994,5.604,111,0.9850,0.4050,1.3900
258.807376,-31.954521,6.003,0.021,10.2,7.207,5.307,111,1.2040,0.6960,1.9000
256.509625,-26.026703,6.004,0.035,16.5,6.921,5.619,111,0.9170,0.3850,1.3020
269.507012,39.494247,6.005,0.013,43.1,6.815,5.723,111,0.8100,0.2820,1.0920
261.917360,35.450329,6.002,0.019,17.4,6.725,5.852,111,0.7230,0.1500,0.8730
251.638697,25.185673,6.009,0.011,15.4,6.766,5.833,111,0.7570,0.1760,0.9330
265.736690,29.228930,6.007,0.031,24.4,6.735,5.813,111,0.7280,0.1940,0.9220
198.635883,-59.538319,6.001,0.019,16.3,7.102,5.457,111,1.1010,0.5440,1.6450
201.769677,-56.549629,6.003,0.051,10.5,7.050,5.529,111,1.0470,0.4740,1.5210
271.667263,-43.226200,6.008,0.033,14.6,6.988,5.531,111,0.9800,0.4770,1.4570
77.535265,-76.139549,6.006,0.027,35.0,6.621,5.853,111,0.6150,0.1530,0.7680
0.380625,-72.605904,6.006,0.029,19.7,6.621,5.891,111,0.6150,0.1150,0.7300
36.962979,-77.418556,6.005,0.037,66.1,6.527,5.889,111,0.5220,0.1160,0.6380
86.549386,-50.871586,6.001,0.043,51.5,6.492,5.855,111,0.4910,0.1460,0.6370
285.894311,5.275168,6.004,0.015,13.1,6.735,5.724,111,0.7310,0.2800,1.0110
277.871098,12.948034,6.001,0.013,30.0,6.796,5.770,111,0.7950,0.2310,1.0260
275.517769,15.570843,6.007,0.013,11.8,6.912,5.596,111,0.9050,0.4110,1.3160
272.619801,15.641923,6.001,0.017,34.4,6.673,5.831,111,0.6720,0.1700,0.8420
226.925044,-57.108021,6.007,0.021,10.6,7.334,5.522,111,1.3270,0.4850,1.8120
207.376251,-62.922043,6.001,0.023,15.8,6.826,5.727,111,0.8250,0.2740,1.0990
213.549551,-62.862400,6.007,0.043,14.1,6.933,5.665,111,0.9260,0.3420,1.2680
219.731917,-63.469059,6.005,0.025,13.9,7.253,5.457,111,1.2480,0.5480,1.7960
294.243352,7.820103,6.004,0.023,15.7,6.916,5.633,111,0.9120,0.3710,1.2830
297.076431,6.379141,6.002,0.037,24.9,6.901,5.508,111,0.8990,0.4940,1.3930
296.065679,5.401435,6.009,0.011,16.2,6.793,5.702,111,0.7840,0.3070,1.0910
296.946569,1.882777,6.001,0.035,13.5,6.977,5.503,111,0.9760,0.4980,1.4740
299.916160,12.118345,6.009,0.031,12.2,6.932,5.723,111,0.9230,0.2860,1.2090
298.695730,9.593279,6.004,0.019,15.5,6.929,5.665,111,0.9250,0.3390,1.2640
301.830906,2.842924,6.001,0.037,13.8,6.842,5.661,111,0.8410,0.3400,1.1810
144.238416,-55.788795,6.004,0.035,14.6,7.188,5.525,111,1.1840,0.4790,1.6630
142.691178,-55.346672,6.009,0.043,13.0,6.927,5.607,111,0.9180,0.4020,1.3200
152.975304,-60.927475,6.001,0.039,14.3,6.923,5.613,111,0.9220,0.3880,1.3100
145.140677,-60.022362,6.006,0.043,14.2,7.008,5.622,111,1.0020,0.3840,1.3860
228.753482,-53.902885,6.005,0.023,10.7,6.978,5.660,111,0.9730,0.3450,1.3180
62.500380,40.889797,6.007,0.037,12.5,7.055,5.705,111,1.0480,0.3020,1.3500
72.758985,38.007923,6.005,0.007,11.2,7.068,5.621,111,1.0630,0.3840,1.4470
70.900441,38.608822,6.001,0.013,17.3,6.990,5.665,111,0.9890,0.3360,1.3250
67.183622,45.960411,6.006,0.013,13.4,7.475,5.261,111,1.4690,0.7450,2.2140
286.713245,-17.349773,6.009,0.033,16.2,6.807,5.702,111,0.7980,0.3070,1.1050
288.356904,-13.844727,6.002,0.023,17.1,6.929,5.689,111,0.9270,0.3130,1.2400
350.948748,-71.466690,6.007,0.023,24.7,6.876,5.743,111,0.8690,0.2640,1.1330
324.706958,-74.125320,6.003,0.023,15.6,6.778,5.773,111,0.7750,0.2300,1.0050
270.911141,-68.336494,6.002,0.023,25.2,6.715,5.758,111,0.7130,0.2440,0.9570
270.850995,-70.334862,6.006,0.015,30.6,6.936,5.595,111,0.9300,0.4110,1.3410
275.142279,-73.818008,6.004,0.037,16.3,6.711,5.817,111,0.7070,0.1870,0.8940
155.553048,-57.398975,6.008,0.047,12.2,6.853,5.755,111,0.8450,0.2530,1.0980
150.314419,-55.337704,6.005,0.045,23.3,7.118,5.574,111,1.1130,0.4310,1.5440
145.257823,-58.293167,6.008,0.035,15.5,7.007,5.577,111,0.9990,0.4310,1.4300
150.174718,-56.196136,6.009,0.041,11.9,7.653,5.273,111,1.6440,0.7360,2.3800
174.220426,-64.947441,6.006,0.033,15.9,6.992,5.639,111,0.9860,0.3670,1.3530
177.789346,-59.262280,6.004,0.047,13.3,7.185,5.309,111,1.1810,0.6950,1.8760
158.756538,-62.104187,6.007,0.027,15.8,7.164,5.386,111,1.1570,0.6210,1.7780
279.708091,10.730169,6.004,0.021,21.9,6.973,5.577,111,0.9690,0.4270,1.3960
277.187213,10.867269,6.007,0.043,16.4,6.924,5.559,111,0.9170,0.4480,1.3650
279.336115,10.612006,6.001,0.013,13.8,6.674,5.855,111,0.6730,0.1460,0.8190
272.219443,10.936442,6.008,0.017,13.4,6.823,5.781,111,0.8150,0.2270,1.0420
279.619989,-60.224586,6.009,0.015,23.8,6.781,5.833,111,0.7720,0.1760,0.9480
275.594826,-62.771290,6.003,0.027,18.4,6.810,5.802,111,0.8070,0.2010,1.0080
279.639144,-62.831547,6.009,0.043,17.3,6.892,5.622,111,0.8830,0.3870,1.2700
274.119028,-57.447151,6.005,0.021,15.0,6.176,5.950,111,0.1710,0.0550,0.2260
89.245872,-28.759193,6.004,0.017,29.9,6.436,5.857,111,0.4320,0.1470,0.5790
78.913969,-26.441893,6.008,0.013,52.7,6.500,5.859,111,0.4920,0.1490,0.6410
80.591494,-30.511499,6.008,0.031,28.5,6.863,5.715,111,0.8550,0.2930,1.1480
88.976141,-21.703947,6.006,0.031,55.9,6.885,5.677,111,0.8790,0.3290,1.2080
1.563059,-24.503414,6.005,0.041,14.2,6.657,5.817,111,0.6520,0.1880,0.8400
25.217215,-6.162648,6.009,0.031,26.7,6.523,5.883,111,0.5140,0.1260,0.6400
8.329766,-19.497393,6.008,0.035,17.6,6.545,5.828,111,0.5370,0.1800,0.7170
13.664972,-21.473104,6.001,0.023,40.4,6.619,5.852,111,0.6180,0.1490,0.7670
83.914406,-81.611832,6.005,0.023,24.0,6.213,5.962,111,0.2080,0.0430,0.2510
82.729701,17.505713,6.008,0.017,21.6,7.013,5.652,111,1.0050,0.3560,1.3610
76.006802,12.934662,6.003,0.029,37.2,6.859,5.742,111,0.8560,0.2610,1.1170
73.914901,19.589733,6.008,0.019,19.2,6.810,5.750,111,0.8020,0.2580,1.0600
13.966442,73.442688,6.007,0.025,27.6,6.995,5.634,111,0.9880,0.3730,1.3610
144.256061,-29.673412,6.001,0.025,30.2,6.937,5.725,111,0.9360,0.2760,1.2120
141.062383,-39.368622,6.004,0.045,31.3,6.800,5.816,111,0.7960,0.1880,0.9840
132.820690,-39.960033,6.001,0.035,19.5,6.842,5.765,111,0.8410,0.2360,1.0770
129.207191,-33.930805,6.003,0.015,17.9,6.718,5.731,111,0.7150,0.2720,0.9870
294.927804,30.653219,6.002,0.015,12.5,6.700,5.846,111,0.6980,0.1560,0.8540
302.854682,38.400078,6.001,0.019,15.1,6.365,5.915,111,0.3640,0.0860,0.4500
157.721115,-61.363365,6.001,0.033,17.4,6.847,5.696,111,0.8460,0.3050,1.1510
165.506015,-59.862335,6.006,0.021,10.4,7.274,5.396,111,1.2680,0.6100,1.8780
163.494774,-60.687565,6.004,0.031,14.2,6.470,5.822,111,0.4660,0.1820,0.6480
168.789735,-57.311859,6.005,0.047,14.7,6.745,5.762,111,0.7400,0.2430,0.9830
170.632363,-56.780605,6.004,0.025,17.9,6.429,5.837,111,0.4250,0.1670,0.5920
344.985023,-60.825615,6.004,0.025,22.1,6.494,5.886,111,0.4900,0.1180,0.6080
270.168161,-46.678307,6.009,0.033,19.3,6.870,5.742,111,0.8610,0.2670,1.1280
242.349638,2.541907,6.001,0.027,54.1,6.529,5.860,111,0.5280,0.1410,0.6690
242.270999,20.620062,6.005,0.007,14.4,6.772,5.803,111,0.7670,0.2020,0.9690
235.492971,7.064167,6.009,0.023,24.9,6.564,5.868,111,0.5550,0.1410,0.6960
267.299033,20.197273,6.007,0.013,20.7,6.477,5.899,111,0.4700,0.1080,0.5780
133.920650,-50.984573,6.001,0.029,12.5,6.998,5.674,111,0.9970,0.3270,1.3240
342.951845,-44.784592,6.003,0.045,77.5,6.513,5.851,111,0.5100,0.1520,0.6620
340.561962,-34.277447,6.008,0.027,20.0,6.460,5.901,111,0.4520,0.1070,0.5590
333.810657,-48.693981,6.008,0.029,29.9,6.558,5.892,111,0.5500,0.1160,0.6660
328.435274,-43.235855,6.002,0.035,42.6,6.714,5.805,111,0.7120,0.1970,0.9090
324.112987,-48.055225,6.001,0.017,75.8,6.798,5.771,111,0.7970,0.2300,1.0270
325.805599,-49.067699,6.006,0.049,46.7,6.857,5.719,111,0.8510,0.2870,1.1380
330.781124,-43.232441,6.009,0.031,21.0,6.545,5.866,111,0.5360,0.1430,0.6790
315.609929,-2.502823,6.002,0.037,13.1,6.743,5.737,111,0.7410,0.2650,1.0060
