ra,dec,h_m,h_cmsig,prox,j_m,k_m,rd_flg,j_h,h_k,j_k
308.375709,-11.445525,6.007,0.033,22.6,6.759,5.811,111,0.7520,0.1960,0.9480
320.494029,-10.315129,6.009,0.015,46.5,6.612,5.814,111,0.6030,0.1950,0.7980
303.223696,-22.990753,6.007,0.029,38.4,6.414,5.869,111,0.4070,0.1380,0.5450
267.873506,-27.136328,6.002,0.023,11.1,7.353,5.457,111,1.3510,0.5450,1.8960
299.959887,51.667351,6.003,0.029,25.5,6.746,5.857,111,0.7430,0.1460,0.8890
298.966463,53.292538,6.001,0.013,14.2,6.978,5.639,111,0.9770,0.3620,1.3390
303.608611,40.329140,6.004,0.009,12.4,6.151,5.909,111,0.1470,0.0950,0.2420
302.790599,45.920345,6.004,0.023,18.7,6.831,5.736,111,0.8270,0.2680,1.0950
304.687421,44.068199,6.001,0.045,28.5,7.200,5.600,111,1.1990,0.4010,1.6000
307.329967,47.558304,6.001,0.007,14.9,6.585,5.861,111,0.5840,0.1400,0.7240
303.386315,52.827000,6.004,0.029,20.5,6.604,5.877,111,0.6000,0.1270,0.7270
301.250004,50.537971,6.005,0.061,11.0,7.000,5.760,111,0.9950,0.2450,1.2400
301.418496,48.566795,6.001,0.053,13.5,6.233,5.875,111,0.2320,0.1260,0.3580
39.030489,-70.807213,6.009,0.013,73.5,6.640,5.817,111,0.6310,0.1920,0.8230
47.209530,-64.565247,6.004,0.023,21.7,6.116,5.945,111,0.1120,0.0590,0.1710
51.287581,-65.005333,6.003,0.043,39.2,6.571,5.866,111,0.5680,0.1370,0.7050
81.583231,-4.703973,6.008,0.023,53.8,6.821,5.834,111,0.8130,0.1740,0.9870
264.922452,-26.861769,6.006,0.025,13.3,7.379,5.480,111,1.3730,0.5260,1.8990
254.635868,-29.669733,6.005,0.033,13.5,6.976,5.678,111,0.9710,0.3270,1.2980
107.169873,-55.631783,6.007,0.023,13.0,6.916,5.791,111,0.9090,0.2160,1.1250
138.864382,-58.745819,6.002,0.039,10.7,6.994,5.602,111,0.9920,0.4000,1.3920
132.764246,-57.768276,6.002,0.029,14.3,6.526,5.801,111,0.5240,0.2010,0.7250
164.117697,-64.188560,6.008,0.039,11.9,7.184,5.464,111,1.1760,0.5440,1.7200
167.270029,-64.514168,6.008,0.033,13.4,7.058,5.586,111,1.0500,0.4220,1.4720
175.942104,-61.631184,6.001,0.053,11.9,7.107,5.503,111,1.1060,0.4980,1.6040
269.097863,1.739188,6.007,0.027,29.6,6.965,5.740,111,0.9580,0.2670,1.2250
267.452081,0.998091,6.003,0.033,23.7,6.952,5.585,111,0.9490,0.4180,1.3670
268.238217,8.699762,6.008,0.023,12.6,6.806,5.842,111,0.7980,0.1660,0.9640
268.278057,6.998668,6.005,0.029,14.9,6.979,5.716,111,0.9740,0.2890,1.2630
266.097385,12.211023,6.002,0.015,23.2,6.833,5.752,111,0.8310,0.2500,1.0810
65.301485,75.188545,6.008,0.015,25.5,6.950,5.673,111,0.9420,0.3350,1.2770
68.474946,76.418900,6.004,0.015,29.7,6.677,5.821,111,0.6730,0.1830,0.8560
85.752785,73.985832,6.008,0.027,15.3,6.101,5.944,111,0.0930,0.0640,0.1570
16.158644,51.397659,6.009,0.011,11.2,6.847,5.764,111,0.8380,0.2450,1.0830
8.773367,53.965687,6.008,0.037,16.8,6.907,5.669,111,0.8990,0.3390,1.2380
40.647928,56.548672,6.008,0.007,14.4,6.831,5.746,111,0.8230,0.2620,1.0850
130.485610,-45.509769,6.005,0.033,13.7,6.948,5.657,111,0.9430,0.3480,1.2910
131.663485,-47.179333,6.001,0.009,14.7,7.001,5.471,111,1.0000,0.5300,1.5300
139.626925,-31.064617,6.005,0.037,23.6,6.945,5.631,111,0.9400,0.3740,1.3140
143.664698,-25.147327,6.009,0.035,16.3,6.487,5.878,111,0.4780,0.1310,0.6090
238.096391,-51.361191,6.009,0.025,11.3,6.676,5.807,111,0.6670,0.2020,0.8690
235.764262,-50.471039,6.006,0.029,15.3,6.887,5.750,111,0.8810,0.2560,1.1370
237.068923,-48.746071,6.001,0.023,10.1,6.931,5.669,111,0.9300,0.3320,1.2620
236.943460,-49.359505,6.003,0.047,11.2,6.954,5.714,111,0.9510,0.2890,1.2400
241.661917,-40.135899,6.005,0.017,16.4,7.016,5.619,111,1.0110,0.3860,1.3970
68.696087,6.450862,6.002,0.025,26.3,6.711,5.867,111,0.7090,0.1350,0.8440
77.070082,21.945518,6.007,0.009,27.1,6.940,5.552,111,0.9330,0.4550,1.3880
77.824488,22.116907,6.007,0.013,38.1,6.290,5.848,111,0.2830,0.1590,0.4420
78.246857,13.964580,6.006,0.019,29.9,6.614,5.838,111,0.6080,0.1680,0.7760
297.964078,41.110500,6.003,0.017,16.5,6.557,5.846,111,0.5540,0.1570,0.7110
298.576828,41.531185,6.004,0.007,14.1,6.579,5.914,111,0.5750,0.0900,0.6650
289.924017,48.738888,6.003,0.035,18.6,6.843,5.722,111,0.8400,0.2810,1.1210
291.830244,50.402660,6.002,0.011,11.6,6.504,5.885,111,0.5020,0.1170,0.6190
291.782294,41.048172,6.005,0.043,14.2,6.513,5.871,111,0.5080,0.1340,0.6420
225.889926,-59.474705,6.009,0.007,10.9,7.305,5.473,111,1.2960,0.5360,1.8320
228.367910,-61.046841,6.002,0.043,14.3,7.069,5.561,111,1.0670,0.4410,1.5080
225.188166,-61.062374,6.005,0.033,14.4,7.103,5.473,111,1.0980,0.5320,1.6300
272.831502,-34.876694,6.008,0.023,18.7,6.546,5.885,111,0.5380,0.1230,0.6610
271.304052,-39.373024,6.001,0.015,11.5,6.935,5.569,111,0.9340,0.4320,1.3660
274.504545,-37.253235,6.007,0.045,10.2,6.886,5.745,111,0.8790,0.2620,1.1410
164.813151,-57.238533,6.009,0.053,14.2,7.082,5.556,111,1.0730,0.4530,1.5260
91.548235,-45.815983,6.007,0.035,21.7,6.273,5.922,111,0.2660,0.0850,0.3510
91.715445,-52.880962,6.007,0.017,18.1,6.545,5.877,111,0.5380,0.1300,0.6680
109.538851,-52.149895,6.001,0.031,13.6,6.721,5.758,111,0.7200,0.2430,0.9630
98.179350,-59.263981,6.004,0.023,17.0,6.638,5.851,111,0.6340,0.1530,0.7870
97.480344,-59.590729,6.004,0.045,36.0,6.124,5.917,111,0.1200,0.0870,0.2070
98.763878,-60.371014,6.005,0.033,46.3,6.703,5.780,111,0.6980,0.2250,0.9230
113.996847,-54.590141,6.009,0.037,15.6,6.886,5.678,111,0.8770,0.3310,1.2080
137.357402,-36.734291,6.009,0.035,18.4,6.952,5.699,111,0.9430,0.3100,1.2530
132.481770,-36.616135,6.001,0.019,19.0,6.210,5.953,111,0.2090,0.0480,0.2570
136.925880,-36.403034,6.006,0.021,22.4,6.936,5.681,111,0.9300,0.3250,1.2550
132.824716,-36.369213,6.007,0.025,12.4,7.191,5.347,111,1.1840,0.6600,1.8440
184.058655,-12.020734,6.006,0.027,36.0,6.545,5.885,111,0.5390,0.1210,0.6600
192.288048,-5.445027,6.007,0.025,15.0,6.730,5.907,111,0.7230,0.1000,0.8230
183.739281,-41.139450,6.008,0.017,33.6,6.310,5.925,111,0.3020,0.0830,0.3850
246.846856,-39.764122,6.003,0.023,19.1,7.105,5.680,111,1.1020,0.3230,1.4250
245.837575,-40.100899,6.009,0.025,16.5,7.108,5.553,111,1.0990,0.4560,1.5550
246.251332,-43.412464,6.002,0.037,11.8,6.711,5.757,111,0.7090,0.2450,0.9540
226.991055,-4.167196,6.006,0.037,30.9,6.866,5.681,111,0.8600,0.3250,1.1850
229.744964,-7.904285,6.002,0.041,23.0,6.630,5.847,111,0.6280,0.1550,0.7830
223.205364,-24.292040,6.002,0.027,89.8,6.726,5.786,111,0.7240,0.2160,0.9400
107.224650,-18.184265,6.007,0.027,13.1,6.239,5.869,111,0.2320,0.1380,0.3700
109.557964,-16.582823,6.007,0.027,12.9,6.971,5.583,111,0.9640,0.4240,1.3880
110.415738,-16.133242,6.004,0.019,13.3,6.717,5.797,111,0.7130,0.2070,0.9200
107.091067,-13.173122,6.006,0.029,15.0,6.691,5.725,111,0.6850,0.2810,0.9660
163.739232,-85.427216,6.004,0.059,27.7,6.828,5.776,111,0.8240,0.2280,1.0520
179.819518,-69.472542,6.001,0.013,13.5,6.774,5.744,111,0.7730,0.2570,1.0300
101.865278,10.056033,6.005,0.023,13.6,6.985,5.678,111,0.9800,0.3270,1.3070
103.113608,9.608982,6.005,0.023,22.6,6.865,5.767,111,0.8600,0.2380,1.0980
105.636354,2.600643,6.006,0.035,29.3,6.709,5.788,111,0.7030,0.2180,0.9210
93.286884,13.498654,6.004,0.007,17.5,6.495,5.846,111,0.4910,0.1580,0.6490
277.076047,20.511658,6.007,0.039,20.8,6.698,5.776,111,0.6910,0.2310,0.9220
278.269674,18.964746,6.006,0.013,12.1,6.713,5.797,111,0.7070,0.2090,0.9160
292.020243,2.781183,6.007,0.025,13.9,7.011,5.664,111,1.0040,0.3430,1.3470
292.916095,5.850650,6.004,0.017,13.5,6.965,5.691,111,0.9610,0.3130,1.2740
293.166268,10.374115,6.009,0.017,11.9,6.498,5.880,111,0.4890,0.1290,0.6180
240.843120,-67.797607,6.003,0.021,18.0,6.856,5.507,111,0.8530,0.4960,1.3490
235.129590,-68.804794,6.006,0.051,12.0,6.849,5.745,111,0.8430,0.2610,1.1040
77.604369,55.726887,6.005,0.013,19.5,6.867,5.720,111,0.8620,0.2850,1.1470
41.949023,56.683849,6.006,0.065,12.1,7.186,5.655,111,1.1800,0.3510,1.5310
39.731798,59.035789,6.001,0.011,15.1,7.046,5.504,111,1.0450,0.4970,1.5420
50.231413,59.396034,6.006,0.023,16.4,7.003,5.705,111,0.9970,0.3010,1.2980
48.522178,59.563431,6.003,0.029,15.4,6.073,5.936,111,0.0700,0.0670,0.1370
323.250999,-30.140495,6.001,0.035,19.1,6.582,5.901,111,0.5810,0.1000,0.6810
312.554409,-38.241081,6.009,0.019,33.9,6.664,5.853,111,0.6550,0.1560,0.8110
309.609070,-35.300629,6.001,0.019,12.5,6.765,5.818,111,0.7640,0.1830,0.9470
354.768105,0.123617,6.001,0.047,29.6,6.770,5.780,111,0.7690,0.2210,0.9900
358.993272,21.165968,6.002,0.005,17.0,6.109,5.948,111,0.1070,0.0540,0.1610
344.828595,4.358540,6.007,0.013,52.1,6.235,5.948,111,0.2280,0.0590,0.2870
356.599760,42.363335,6.006,0.013,16.5,6.922,5.755,111,0.9160,0.2510,1.1670
347.914977,36.794647,6.004,0.047,22.7,6.513,5.860,111,0.5090,0.1440,0.6530
352.548340,36.333668,6.002,0.011,39.9,6.711,5.895,111,0.7090,0.1070,0.8160
341.379647,30.561941,6.008,0.011,11.5,6.524,5.895,111,0.5160,0.1130,0.6290
344.479765,30.284946,6.001,0.009,36.1,6.773,5.837,111,0.7720,0.1640,0.9360
268.576110,-47.426907,6.003,0.027,19.4,6.588,5.824,111,0.5850,0.1790,0.7640
265.957849,-48.671692,6.003,0.011,11.0,6.926,5.610,111,0.9230,0.3930,1.3160
259.073448,-53.745937,6.002,0.031,13.3,6.833,5.727,111,0.8310,0.2750,1.1060
258.671551,-52.005653,6.003,0.023,13.4,6.973,5.589,111,0.9700,0.4140,1.3840
255.338176,-51.771938,6.003,0.039,12.1,7.042,5.544,111,1.0390,0.4590,1.4980
267.796030,-53.130245,6.009,0.033,18.4,5.971,5.965,111,-0.0380,0.0440,0.0060
58.662635,58.708580,6.004,0.025,29.4,7.113,5.600,111,1.1090,0.4040,1.5130
56.883903,55.922020,6.008,0.015,11.7,5.977,5.980,111,-0.0310,0.0280,-0.0030
57.847600,57.571877,6.004,0.007,12.7,7.059,5.564,111,1.0550,0.4400,1.4950
80.412053,57.909149,6.003,0.005,10.5,6.922,5.752,111,0.9190,0.2510,1.1700
210.347030,-52.454506,6.007,0.029,16.2,6.980,5.619,111,0.9730,0.3880,1.3610
205.863379,-29.619625,6.006,0.029,25.2,6.816,5.739,111,0.8100,0.2670,1.0770
205.985995,-28.666019,6.009,0.039,32.5,6.473,5.900,111,0.4640,0.1090,0.5730
238.961021,-61.295494,6.003,0.035,10.6,6.971,5.649,111,0.9680,0.3540,1.3220
242.036919,-61.563896,6.006,0.025,11.4,6.567,5.838,111,0.5610,0.1680,0.7290
72.789382,-44.280193,6.005,0.043,22.3,6.558,5.895,111,0.5530,0.1100,0.6630
54.759151,-51.299713,6.007,0.029,57.1,6.896,5.852,111,0.8890,0.1550,1.0440
60.907656,-50.235638,6.003,0.019,17.2,6.561,5.863,111,0.5580,0.1400,0.6980
58.402734,-39.531780,6.003,0.025,60.3,6.499,5.857,111,0.4960,0.1460,0.6420
67.687933,-46.521732,6.007,0.033,32.8,6.717,5.851,111,0.7100,0.1560,0.8660
45.358316,-5.041418,6.008,0.021,44.5,6.795,5.716,111,0.7870,0.2920,1.0790
50.811490,-11.658801,6.009,0.033,33.0,6.757,5.745,111,0.7480,0.2640,1.0120
48.944460,-19.346401,6.007,0.023,55.9,6.762,5.795,111,0.7550,0.2120,0.9670
26.703149,-49.646698,6.002,0.027,127.2,6.520,5.893,111,0.5180,0.1090,0.6270
309.582583,34.205746,6.007,0.009,13.6,7.242,5.121,111,1.2350,0.8860,2.1210
311.277756,36.084965,6.001,0.015,15.8,7.005,5.625,111,1.0040,0.3760,1.3800
316.441147,27.558237,6.004,0.019,20.3,6.744,5.743,111,0.7400,0.2610,1.0010
319.702408,32.306618,6.005,0.011,15.5,6.723,5.816,111,0.7180,0.1890,0.9070
292.394877,-0.603628,6.006,0.019,12.2,6.983,5.576,111,0.9770,0.4300,1.4070
292.220045,-1.637426,6.002,0.033,17.2,6.934,5.532,111,0.9320,0.4700,1.4020
293.221566,-5.109139,6.002,0.029,16.7,6.973,5.734,111,0.9710,0.2680,1.2390
292.463065,-5.706311,6.002,0.033,13.3,6.949,5.551,111,0.9470,0.4510,1.3980
282.627034,-10.659022,6.006,0.029,17.4,7.018,5.587,111,1.0120,0.4190,1.4310
285.517399,-7.962234,6.009,0.023,11.2,7.009,5.654,111,1.0000,0.3550,1.3550
286.891568,-8.517493,6.004,0.051,13.3,6.776,5.728,111,0.7720,0.2760,1.0480
353.882846,59.922729,6.007,0.013,22.5,6.887,5.737,111,0.8800,0.2700,1.1500
348.908641,64.138695,6.005,0.049,15.0,7.042,5.663,111,1.0370,0.3420,1.3790
250.543660,-2.160089,6.007,0.045,14.8,6.502,5.827,111,0.4950,0.1800,0.6750
257.202417,-5.053894,6.006,0.045,20.8,6.938,5.626,111,0.9320,0.3800,1.3120
254.820362,-3.898808,6.006,0.033,47.6,6.883,5.757,111,0.8770,0.2490,1.1260
262.583320,-4.369424,6.006,0.055,11.0,6.121,5.942,111,0.1150,0.0640,0.1790
227.067105,-1.064640,6.005,0.041,26.2,6.635,5.861,111,0.6300,0.1440,0.7740
243.586150,-21.891615,6.001,0.047,25.7,6.987,5.647,111,0.9860,0.3540,1.3400
243.755655,-13.764897,6.002,0.047,36.4,6.978,5.667,111,0.9760,0.3350,1.3110
237.734323,-3.884326,6.003,0.029,17.5,6.936,5.671,111,0.9330,0.3320,1.2650
234.825592,-10.412155,6.005,0.041,77.4,6.802,5.757,111,0.7970,0.2480,1.0450
230.046966,-27.090736,6.001,0.017,16.1,6.782,5.748,111,0.7810,0.2530,1.0340
233.741961,-35.204227,6.001,0.037,34.1,7.003,5.575,111,1.0020,0.4260,1.4280
238.507363,-30.921000,6.006,0.035,13.7,6.795,5.770,111,0.7890,0.2360,1.0250
132.445281,2.745704,6.003,0.019,31.8,6.542,5.873,111,0.5390,0.1300,0.6690
116.843635,15.520778,6.001,0.011,34.6,6.497,5.886,111,0.4960,0.1150,0.6110
120.421909,12.775358,6.007,0.029,19.3,6.610,5.883,111,0.6030,0.1240,0.7270
120.480765,14.077962,6.002,0.035,10.7,6.806,5.773,111,0.8040,0.2290,1.0330
116.167420,3.552490,6.005,0.035,47.5,6.581,5.698,111,0.5760,0.3070,0.8830
116.916566,3.821851,6.004,0.033,21.9,6.683,5.872,111,0.6790,0.1320,0.8110
90.118772,35.312199,6.004,0.017,18.6,6.314,5.873,111,0.3100,0.1310,0.4410
102.357154,37.067650,6.007,0.013,15.1,6.660,5.865,111,0.6530,0.1420,0.7950
257.696976,-38.576824,6.006,0.027,14.4,8.356,4.881,111,2.3500,1.1250,3.4750
257.734368,-39.307995,6.003,0.029,10.8,7.320,5.445,111,1.3170,0.5580,1.8750
256.164272,-39.169636,6.002,0.029,10.7,7.299,5.408,111,1.2970,0.5940,1.8910
257.511564,-39.982262,6.001,0.037,10.7,6.782,5.622,111,0.7810,0.3790,1.1600
257.458272,-47.133919,6.007,0.023,10.1,7.103,5.640,111,1.0960,0.3670,1.4630
252.782537,-44.230125,6.007,0.033,11.3,7.079,5.597,111,1.0720,0.4100,1.4820
98.021233,13.883928,6.008,0.025,24.1,7.048,5.639,111,1.0400,0.3690,1.4090
97.537650,9.978555,6.003,0.031,28.3,7.120,5.571,111,1.1170,0.4320,1.5490
93.581176,10.138396,6.008,0.021,15.6,6.599,5.862,111,0.5910,0.1460,0.7370
98.400450,5.661142,6.006,0.037,11.2,6.455,5.904,111,0.4490,0.1020,0.5510
95.995737,7.259691,6.003,0.027,34.7,6.738,5.856,111,0.7350,0.1470,0.8820
124.373363,-3.107463,6.009,0.027,14.4,6.354,5.930,111,0.3450,0.0790,0.4240
126.920127,-4.414925,6.007,0.051,45.9,6.092,5.912,111,0.0850,0.0950,0.1800
121.246385,-15.288877,6.008,0.039,16.8,6.762,5.725,111,0.7540,0.2830,1.0370
305.907016,-9.132040,6.005,0.043,16.9,6.882,5.641,111,0.8770,0.3640,1.2410
295.063740,-2.659490,6.005,0.033,12.3,6.496,5.869,111,0.4910,0.1360,0.6270
261.592113,-63.638271,6.002,0.039,23.1,6.606,5.772,111,0.6040,0.2300,0.8340
260.668277,-63.219227,6.007,0.019,18.0,6.870,5.604,111,0.8630,0.4030,1.2660
247.058398,-58.274807,6.007,0.019,16.3,6.975,5.628,111,0.9680,0.3790,1.3470
248.144418,-58.933449,6.004,0.033,12.9,6.492,5.901,111,0.4880,0.1030,0.5910
251.575495,-59.775166,6.004,0.025,11.0,6.904,5.675,111,0.9000,0.3290,1.2290
260.412143,-59.364197,6.006,0.031,24.7,6.889,5.654,111,0.8830,0.3520,1.2350
343.474062,52.524063,6.003,0.025,18.0,6.720,5.840,111,0.7170,0.1630,0.8800
342.824983,52.511070,6.001,0.013,19.2,6.639,5.843,111,0.6380,0.1580,0.7960
349.454584,53.070023,6.006,0.017,24.7,6.921,5.712,111,0.9150,0.2940,1.2090
351.212306,49.668636,6.006,0.007,19.7,6.884,5.726,111,0.8780,0.2800,1.1580
357.204562,51.184063,6.003,0.017,17.8,6.779,5.799,111,0.7760,0.2040,0.9800
357.120106,64.609169,6.006,0.017,20.1,6.722,5.847,111,0.7160,0.1590,0.8750
344.038322,62.073544,6.001,0.017,11.4,6.929,5.681,111,0.9280,0.3200,1.2480
294.633304,19.993397,6.007,0.009,12.3,7.260,5.464,111,1.2530,0.5430,1.7960
288.665047,19.425997,6.009,0.023,13.5,7.205,5.460,111,1.1960,0.5490,1.7450
287.655802,19.964100,6.008,0.011,10.7,6.959,5.723,111,0.9510,0.2850,1.2360
287.552822,22.121794,6.003,0.011,11.0,6.868,5.742,111,0.8650,0.2610,1.1260
291.412681,-10.414589,6.006,0.029,20.7,6.948,5.610,111,0.9420,0.3960,1.3380
324.578901,35.637070,6.009,0.017,23.1,6.934,5.584,111,0.9250,0.4250,1.3500
325.433037,35.074001,6.006,0.007,15.4,6.719,5.800,111,0.7130,0.2060,0.9190
318.046337,29.432404,6.004,0.029,15.7,6.864,5.676,111,0.8600,0.3280,1.1880
321.738178,30.638073,6.006,0.009,23.6,6.720,5.830,111,0.7140,0.1760,0.8900
317.916913,50.307350,6.001,0.029,10.3,7.091,5.648,111,1.0900,0.3530,1.4430
317.825842,49.893089,6.005,0.061,15.0,7.312,5.513,111,1.3070,0.4920,1.7990
316.432968,49.267700,6.007,0.027,19.1,6.853,5.708,111,0.8460,0.2990,1.1450
20.658445,25.473206,6.005,0.013,37.4,6.784,5.833,111,0.7790,0.1720,0.9510
12.853808,32.657158,6.001,0.015,58.6,6.227,5.951,111,0.2260,0.0500,0.2760
7.084424,33.911423,6.002,0.009,34.6,6.853,5.735,111,0.8510,0.2670,1.1180
7.426731,30.644539,6.001,0.007,42.0,6.763,5.777,111,0.7620,0.2240,0.9860
25.826498,21.500319,6.005,0.007,15.2,6.671,5.888,111,0.6660,0.1170,0.7830
19.209890,21.051805,6.001,0.035,80.3,6.207,5.982,111,0.2060,0.0190,0.2250
15.389841,11.942099,6.007,0.037,16.0,6.815,5.731,111,0.8080,0.2760,1.0840
3.376003,46.418247,6.001,0.025,13.7,6.821,5.740,111,0.8200,0.2610,1.0810
73.132930,69.617348,6.005,0.037,47.9,6.480,5.916,111,0.4750,0.0890,0.5640
61.005542,65.665459,6.003,0.017,22.4,7.397,5.363,111,1.3940,0.6400,2.0340
24.476538,63.744099,6.002,0.029,14.2,6.951,5.730,111,0.9490,0.2720,1.2210
97.265692,-41.625992,6.002,0.017,48.6,6.571,5.897,111,0.5690,0.1050,0.6740
97.285772,-42.674446,6.001,0.017,12.5,6.404,5.901,111,0.4030,0.1000,0.5030
101.734102,-38.092709,6.005,0.029,23.1,6.564,5.830,111,0.5590,0.1750,0.7340
123.851315,-52.568005,6.001,0.027,19.2,6.690,5.762,111,0.6890,0.2390,0.9280
295.063715,17.810558,6.004,0.035,11.8,6.944,5.781,111,0.9400,0.2230,1.1630
291.234065,16.476261,6.003,0.015,14.3,7.390,5.344,111,1.3870,0.6590,2.0460
292.461084,17.813036,6.004,0.023,12.2,7.154,5.531,111,1.1500,0.4730,1.6230
294.673184,18.484016,6.005,0.021,14.9,7.014,5.642,111,1.0090,0.3630,1.3720
292.819995,19.680517,6.008,0.015,10.7,7.195,5.376,111,1.1870,0.6320,1.8190
331.393985,40.503502,6.003,0.033,25.5,7.027,5.731,111,1.0240,0.2720,1.2960
331.682814,39.882137,6.002,0.027,28.1,6.737,5.810,111,0.7350,0.1920,0.9270
339.905324,37.397537,6.007,0.015,27.3,6.477,5.932,111,0.4700,0.0750,0.5450
326.325181,27.361420,6.009,0.021,43.7,6.520,5.902,111,0.5110,0.1070,0.6180
323.688762,33.152130,6.005,0.013,16.2,6.508,5.908,111,0.5030,0.0970,0.6000
322.618848,34.680256,6.005,0.013,11.4,6.659,5.831,111,0.6540,0.1740,0.8280
326.978920,34.531925,6.002,0.041,28.8,6.693,5.808,111,0.6910,0.1940,0.8850
348.467204,28.298168,6.003,0.013,19.2,6.724,5.767,111,0.7210,0.2360,0.9570
332.495492,22.041451,6.002,0.065,24.2,6.961,5.771,111,0.9590,0.2310,1.1900
334.827781,12.254126,6.004,0.009,11.8,6.802,5.765,111,0.7980,0.2390,1.0370
331.553017,14.857541,6.005,0.005,29.4,6.457,5.865,111,0.4520,0.1400,0.5920
330.283210,15.603873,6.002,0.023,13.6,6.746,5.734,111,0.7440,0.2680,1.0120
325.276137,11.016935,6.002,0.029,11.2,6.879,5.703,111,0.8770,0.2990,1.1760
336.700398,19.962057,6.009,0.031,19.4,6.663,5.814,111,0.6540,0.1950,0.8490
50.647858,66.558601,6.009,0.019,33.5,7.101,5.642,111,1.0920,0.3670,1.4590
2.710978,5.088806,6.003,0.055,58.4,6.489,5.805,111,0.4860,0.1980,0.6840
4.260281,2.371436,6.003,0.041,25.4,6.557,5.828,111,0.5540,0.1750,0.7290
6.726173,8.562753,6.002,0.019,12.6,6.595,5.875,111,0.5930,0.1270,0.7200
330.068841,49.796047,6.009,0.021,12.2,6.662,5.818,111,0.6530,0.1910,0.8440
328.267142,46.881893,6.003,0.047,11.5,7.004,5.501,111,1.0010,0.5020,1.5030
327.184813,50.468601,6.006,0.047,14.0,6.824,5.792,111,0.8180,0.2140,1.0320
334.608360,37.447887,6.006,0.013,55.8,6.513,5.893,111,0.5070,0.1130,0.6200
110.811089,-17.684311,6.008,0.031,14.0,6.639,5.771,111,0.6310,0.2370,0.8680
113.592397,-16.190514,6.002,0.027,13.5,6.977,5.576,111,0.9750,0.4260,1.4010
112.741422,-20.476398,6.001,0.031,14.2,7.008,5.551,111,1.0070,0.4500,1.4570
112.429941,-4.461445,6.001,0.027,11.5,6.798,5.723,111,0.7970,0.2780,1.0750
105.155242,-10.627783,6.004,0.043,13.4,7.026,5.687,111,1.0220,0.3170,1.3390
105.618377,-10.051344,6.009,0.023,21.0,7.175,5.510,111,1.1660,0.4990,1.6650
105.404279,27.044895,6.006,0.009,15.9,6.895,5.699,111,0.8890,0.3070,1.1960
104.471748,26.568825,6.009,0.067,35.9,6.566,5.907,111,0.5570,0.1020,0.6590
311.262827,79.238640,6.004,0.019,14.3,6.308,5.922,111,0.3040,0.0820,0.3860
272.678150,54.559624,6.005,0.025,14.5,6.446,5.878,111,0.4410,0.1270,0.5680
303.958463,56.032146,6.008,0.013,23.5,6.692,5.847,111,0.6840,0.1610,0.8450
292.105606,55.679607,6.001,0.039,21.0,6.769,5.792,111,0.7680,0.2090,0.9770
107.753833,37.296295,6.005,0.041,55.1,6.496,5.922,111,0.4910,0.0830,0.5740
